Date,Close,High,Low,Open,Volume,Ticker,Daily_Return,MA_20,MA_50,Volatility
2020-01-02,72.33389282226562,72.39410082239243,71.09119881769524,71.34406947838406,135480400,AAPL,,,,
2020-01-03,71.63062286376953,72.38924180059009,71.40665098377971,71.56319023271006,146322800,AAPL,-0.009722550951655862,,,
2020-01-06,72.2013931274414,72.23992710936326,70.50353134989086,70.7539985575802,118387200,AAPL,0.007968243760177796,,,
2020-01-07,71.8618392944336,72.4663224088167,71.64268136784916,72.211041164577,108872000,AAPL,-0.004702870932261294,,,
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200,AAPL,0.016086186807090952,,,
2020-01-09,74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400,AAPL,0.021241110267786967,,,
2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800,AAPL,0.002260616610677335,,,
2020-01-13,76.3341064453125,76.36060178633993,74.93487315391599,75.05288582822318,121532000,AAPL,0.02136458670737995,,,
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400,AAPL,-0.013503391814548849,,,
2020-01-15,74.9806137084961,75.98247543934815,74.54952248725758,75.10344034713454,121923600,AAPL,-0.0042856452464443695,,,
2020-01-16,75.91984558105469,76.03063354644571,75.16122656820497,75.52247441714353,108829200,AAPL,0.012526329488447008,,,
2020-01-17,76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400,AAPL,0.01107108596291062,,,
2020-01-21,76.24016571044922,76.83019952815127,76.10288974668396,76.3894803308505,110843200,AAPL,-0.006776870281222758,,,
2020-01-22,76.5123291015625,77.06382908812623,76.41840109404252,76.72425508723063,101832400,AAPL,0.00356981636355469,,,
2020-01-23,76.88077545166016,76.96024675038308,76.01859307367198,76.56528622859716,104472000,AAPL,0.00481551606681041,,,
2020-01-24,76.6592025756836,77.8681760847734,76.46894331412666,77.12641705620177,146537600,AAPL,-0.002882032272370605,,,
2020-01-27,74.40502166748047,75.08416206919466,73.42483402812097,74.67234156024762,161940000,AAPL,-0.02940522249729416,,,
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,AAPL,0.028289403188851203,,,
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,AAPL,0.020932350980549463,,,
2020-01-30,77.99826049804688,78.05124383327706,76.76520180499128,77.19629315301822,126743200,AAPL,-0.001448786854669426,75.1483543395996,,
2020-01-31,74.53988647460938,77.71163859900423,74.24607125177067,77.29018275843434,199588400,AAPL,-0.044339117325880584,75.2586540222168,,0.017679199947407156
2020-02-03,74.33521270751953,75.49842813862173,72.78425389964323,73.28518127100233,173788400,AAPL,-0.0027458288007933263,75.3938835144043,,0.01751096164073643
2020-02-04,76.78925323486328,76.97951249486786,75.53211041551288,75.93670624597806,136616400,AAPL,0.03301316345188199,75.62327651977539,,0.01880759489346177
2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800,AAPL,0.008154559782436399,75.9009563446045,,0.018740926771224457
2020-02-06,78.32095336914062,78.3233640404218,77.12883967256218,77.68516086755363,105425600,AAPL,0.011696860824622402,76.16611289978027,,0.018615954788628517
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000,AAPL,-0.013592664648551467,76.30049095153808,,0.018515463039426302
2020-02-10,77.623291015625,77.623291015625,75.7644885208781,75.8441484328751,109348800,AAPL,0.00474948711977885,76.4447868347168,,0.01852612235600596
2020-02-11,77.15499114990234,78.1906145236601,76.93772941121844,78.11819639978289,94323200,AAPL,-0.006032981333249476,76.48583106994629,,0.018029850668288487
2020-02-12,78.98721313476562,78.99203855171046,77.60396869052254,77.60396869052254,113730400,AAPL,0.023747290454657843,76.67002487182617,,0.01840654620757418
2020-02-13,78.42475891113281,78.7506551305069,78.05782821966719,78.26060628866534,94747600,AAPL,-0.007120826287074666,76.84223213195801,,0.018472783571440783
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,AAPL,0.00024622323137113433,76.96844329833985,,0.01832234632899566
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200,AAPL,-0.01831056969383149,76.98081092834472,,0.01871335706783179
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,AAPL,0.014482905180583039,77.07495307922363,,0.018891502774346588
2020-02-20,77.32154083251953,78.37164756799683,76.81700838375629,77.88401513292217,100566000,AAPL,-0.010259050548065751,77.11541366577148,,0.01905988153283808
2020-02-21,75.57138061523438,77.3577728316972,74.9558044913532,76.91600019658557,129554000,AAPL,-0.022634833688532474,77.0499439239502,,0.019724654514871345
2020-02-24,71.98170471191406,73.43012593023869,69.82114748147725,71.75961758398634,222195200,AAPL,-0.04750046742690672,76.81606903076172,,0.022337802554995696
2020-02-25,69.54354095458984,73.03182567603444,69.07280838793456,72.65041125636773,230673600,AAPL,-0.03387199243310868,76.57299499511718,,0.02263704002763062
2020-02-26,70.64674377441406,71.90928692764982,69.16211349223191,69.16935530367469,198054800,AAPL,0.015863483577067017,76.27983741760254,,0.021887508921366927
2020-02-27,66.02870178222656,69.04142098650374,65.89351637245633,67.85854496748809,320605600,AAPL,-0.0653680799066072,75.67570114135742,,0.02504483457303271
2020-02-28,65.99005126953125,67.20914325476264,61.88860853206062,62.10346116385855,426510000,AAPL,-0.0005853592703183308,75.07529067993164,,0.02505757793377515
2020-03-02,72.13375854492188,72.76865074645058,67.04256107502337,68.14336012975559,341397200,AAPL,0.0931005076855771,74.95498428344726,,0.03235629399699839
2020-03-03,69.84288787841797,73.38669078369585,68.99314253337712,73.30703084112471,319475600,AAPL,-0.031758648276690726,74.7303680419922,,0.03307409011211197
2020-03-04,73.08247375488281,73.24180090646557,70.76259027435336,71.561635057031,219178400,AAPL,0.04638390500267242,74.54502906799317,,0.033955213990045564
2020-03-05,70.7119140625,72.31241302487865,70.34739243241086,71.33955724756618,187572800,AAPL,-0.032436774107204136,74.20985298156738,,0.03452894672543357
2020-03-06,69.77286529541016,70.20497969740977,67.88992061879122,68.07579869358199,226176800,AAPL,-0.013279922903230212,73.78244857788086,,0.03438423966195094
2020-03-09,64.2543716430664,67.13189718407227,63.489119320777824,63.670171942415024,286744800,AAPL,-0.07909226070878839,73.13234901428223,,0.0381390765344103
2020-03-10,68.88208770751953,69.14763308452109,65.0268727397902,66.90258302825225,285290000,AAPL,0.07202180872859709,72.69528884887696,,0.04212572793036948
2020-03-11,66.48978424072266,67.88751298901103,65.62797171834961,66.96294054735044,255598800,AAPL,-0.034730414631955475,72.16202850341797,,0.042644004892589384
2020-03-12,59.923587799072266,65.17894285229022,59.86806602728879,61.78481034349421,418474000,AAPL,-0.09875496689653607,71.2088472366333,,0.04667014100463642
2020-03-13,67.10293579101562,67.57367559511492,61.06301877546382,63.94538103600016,370732000,AAPL,0.11980838023277562,70.64275608062744,73.73339134216309,0.0552985781550753
2020-03-16,58.4703483581543,62.542820889319664,57.93684495675963,58.40758108532822,322423600,AAPL,-0.12864694116732134,69.64407005310059,73.45612045288085,0.061638699371286375
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,AAPL,0.04397001210426832,68.84574890136719,73.24433380126953,0.06290473073033499
2020-03-18,59.5470085144043,60.350882714180244,57.2416040580175,57.88132562490314,300233600,AAPL,-0.024479852274846392,67.91694889068603,72.99124610900878,0.06272059827345956
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200,AAPL,-0.0076621290949436816,67.00540943145752,72.7358243560791,0.0627262357154589
2020-03-20,55.3393440246582,60.79264863512061,55.04000233501268,59.67012006159394,401693200,AAPL,-0.06348552893084092,65.99380760192871,72.38225479125977,0.06376499420416368
2020-03-23,54.163700103759766,55.160697700443244,51.32479637531141,55.05930867623348,336752800,AAPL,-0.021244269183505193,65.102907371521,71.97415275573731,0.06329725791180006
2020-03-24,59.59770202636719,59.793238287645494,56.56084531140466,57.05813597182242,287531200,AAPL,0.10032553005421829,64.60561542510986,71.67135932922363,0.06783087610793313
2020-03-25,59.26939010620117,62.34245572079971,58.974877532799404,60.53192941719469,303602000,AAPL,-0.005508801665217944,64.03674774169922,71.3300650024414,0.0676446520724211
2020-03-26,62.3883171081543,62.4462515869641,59.47216257409066,59.5107880156471,252087200,AAPL,0.052622896850541334,63.8547285079956,71.07176460266113,0.06739160978272159
2020-03-27,59.80530548095703,61.767913466106,59.638736473627105,61.01473571142301,204216800,AAPL,-0.04140216865794666,63.545491218566895,70.76825843811035,0.0680041098296941
2020-03-30,61.512020111083984,61.683418202528024,60.206026401052306,60.529509863529455,167976400,AAPL,0.028537846540561462,63.014404296875,70.48010192871094,0.06466702458932633
2020-03-31,61.386497497558594,63.366005560924876,60.833685075362965,61.70273919270683,197002000,AAPL,-0.002040619269188526,62.59158477783203,70.17262466430664,0.06438336593549711
2020-04-01,58.156517028808594,60.041877740721404,57.726819101176545,59.50596168562525,176218400,AAPL,-0.05261711614803333,61.84528694152832,69.81095169067383,0.06407402386994701
2020-04-02,59.12696075439453,59.18006982201146,57.188490836952404,58.01891951220774,165934000,AAPL,0.01668675799661834,61.266039276123045,69.46324432373046,0.06408619531854026
2020-04-03,58.277225494384766,59.31284498948773,57.68820030765842,58.61277624472143,129880000,AAPL,-0.014371367125387224,60.691257286071775,69.09117332458496,0.06409233489911464
2020-04-06,63.36116409301758,63.51565847082729,60.20119380275697,60.568124396222636,201820400,AAPL,0.08723714204827182,60.646596908569336,68.82521255493164,0.06503029378911063
2020-04-07,62.62730407714844,65.58932954032026,62.52350234713508,65.37206051111131,202887200,AAPL,-0.011582173818520669,60.333857727050784,68.589658203125,0.06289798068348544
2020-04-08,64.23023223876953,64.54405384793799,63.06184016051964,63.42635444288139,168895200,AAPL,0.025594717595483596,60.220880126953126,68.34406494140624,0.06273578103981961
2020-04-09,64.6937255859375,65.19584902236409,63.89951332637289,64.86512738575412,161834800,AAPL,0.007216124417003256,60.45938701629639,68.07571090698242,0.05825812087987099
2020-04-13,65.96351623535156,66.07215077341053,64.17229875609489,64.77098217772529,131022800,AAPL,0.019627724913249933,60.40241603851318,67.83501602172852,0.05186374280854353
2020-04-14,69.29487609863281,69.58456326372355,67.12224446160415,67.59298426311395,194994800,AAPL,0.050503066746703906,60.94364242553711,67.73011581420899,0.04313116014151781
2020-04-15,68.66239166259766,69.1210568119712,67.74506136385055,68.17234288135833,131154400,AAPL,-0.00912743440272401,61.324697494506836,67.61665939331054,0.0425208755387668
2020-04-16,69.20795440673828,69.5724759670409,68.16026433690568,69.3745233735621,157125200,AAPL,0.007945583177782156,61.80774478912353,67.46503341674804,0.04188114617044848
2020-04-17,68.2688980102539,69.27072829912615,66.83496081662895,68.72515410233876,215250000,AAPL,-0.013568619453271147,62.26665210723877,67.28210266113281,0.04202068540301451
2020-04-20,66.85187530517578,67.99854202997274,66.83256626499734,67.09811161151838,130015200,AAPL,-0.02075649009107028,62.84227867126465,67.05272109985351,0.03918157661666591
2020-04-21,64.78544616699219,66.92911009651182,64.07571939662287,66.69494844279068,180991600,AAPL,-0.03091056352197208,63.37336597442627,66.80330276489258,0.03964677142232963
2020-04-22,66.6515121459961,67.0860355273564,65.71003990834832,66.05041238241853,116862400,AAPL,0.028803783710833697,63.72605648040771,66.5838671875,0.03384532152952555
2020-04-23,66.39319610595703,68.01542772017612,66.35457066668404,66.59597413685326,124814400,AAPL,-0.0038756215984002695,64.08224678039551,66.3686312866211,0.03381768455553465
2020-04-24,68.30995178222656,68.31960998543786,66.86877252729914,66.91705617630512,126161200,AAPL,0.028869760588277504,64.37832851409912,66.15508605957031,0.03249367995997621
