Date,Close,High,Low,Open,Volume,Ticker,Company,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA
2020-01-02,72.33386993408203,72.39407791515757,71.09117632272992,71.34404690340438,135480400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-03,71.63064575195312,72.38926493117573,71.40667380039741,71.56321309934685,146322800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-08,73.01782989501953,73.31886979288494,71.56561372170107,71.56561372170107,132079200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-09,74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-10,74.73738098144531,75.3009342510977,74.23645372460896,74.80241031619431,140644800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-13,76.33407592773438,76.36057125816924,74.9348431957367,75.05285582286368,121532000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-15,74.98063659667969,75.98249863335472,74.54954524384856,75.10346327281154,121923600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-16,75.91986083984375,76.03064882750155,75.1612416745226,75.52248959606675,108829200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-17,76.7603759765625,76.76277929851412,75.86207008807327,76.16792404225187,137816400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-21,76.24018859863281,76.83022259346987,76.10291259365572,76.38950326386008,110843200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-22,76.51232147216797,77.0638214037391,76.41839347401398,76.72424743670398,101832400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-23,76.88079071044922,76.96026202494508,76.01860816134078,76.56530142477,104472000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-24,76.65923309326172,77.86820708363678,76.46897375596369,77.12644775977525,146537600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-27,74.40501403808594,75.08415437016195,73.4248264992336,74.67233390344245,161940000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-28,76.50990295410156,76.68089158109271,75.18532722614749,75.28406920782065,162234000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-29,78.11141967773438,78.95674202148273,77.39855929233421,78.13791500924663,216229200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-30,77.99824523925781,78.05122856412287,76.76518678742532,77.19627805111793,126743200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-01-31,74.53987884521484,77.71163064497078,74.24606365244907,77.29017484753824,199588400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-03,74.33519744873047,75.49841264105945,72.7842389592195,73.28516622775322,173788400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-04,76.78923797607422,76.97949719827238,75.5320954065306,75.93669115659857,136616400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-06,78.32096099853516,78.32337167005116,77.12884718583062,77.6851684350144,105425600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-07,77.25634765625,78.06987612347613,76.76629893571341,77.82123085871221,117684000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-10,77.6233139038086,77.6233139038086,75.76451086097089,75.84417079645658,109348800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-11,77.15497589111328,78.19059906005786,76.9377141953968,78.11818095050265,94323200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-12,78.98722076416016,78.99204618157108,77.60397618630914,77.60397618630914,113730400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-13,78.42475128173828,78.75064746940821,78.05782062596876,78.26059867524006,94747600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-14,78.44408416748047,78.69272952184373,77.93713525426901,78.39338411922328,80113600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-18,77.00772094726562,77.18877358272158,75.94795598487916,76.12900862033511,152531200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-20,77.3215560913086,78.37166303401608,76.81702354297988,77.88403050271104,100566000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-21,75.57135009765625,77.35774159273006,74.95577422235982,76.91596913601705,129554000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-24,71.981689453125,73.43011036441114,69.82113268068633,71.75960237227564,222195200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-25,69.54351806640625,73.03180163978591,69.07278565467855,72.65038734565039,230673600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-26,70.64674377441406,71.90928692764982,69.16211349223191,69.16935530367469,198054800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-27,66.02867889404297,69.04139705399142,65.8934935311334,67.85852144500781,320605600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-02-28,65.99005126953125,67.20914325476264,61.88860853206062,62.10346116385855,426510000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-02,72.1337661743164,72.76865844299596,67.04256816593558,68.14336733709636,341397200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-03,69.84283447265625,73.38663466814508,68.99308977737803,73.30697478648636,319475600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-04,73.08247375488281,73.24180090646557,70.76259027435336,71.561635057031,219178400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-05,70.7119369506836,72.31243643111517,70.34741520260532,71.33958033890666,187572800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-06,69.77287292480469,70.20498737405435,67.889928042293,68.07580613740882,226176800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-09,64.25436401367188,67.13188921300795,63.48911178224734,63.67016438238683,286744800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-10,68.88207244873047,69.14761776690831,65.02685833500999,66.9025682079639,285290000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-11,66.48976135253906,67.88748961967876,65.627949126833,66.96291749628936,255598800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-12,59.92359161376953,65.17894700154001,59.86806983845157,61.784814276675704,418474000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-13,67.10294342041016,67.5736832780311,61.06302571813862,63.94538830639056,370732000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-16,58.47034454345703,62.5428168089279,57.93684117686896,58.40757727472599,322423600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-17,61.041282653808594,62.187945473114404,57.550586794967394,59.749772593000145,324056000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-18,59.5469970703125,60.350871115595204,57.24159305699179,57.88131450093201,300233600.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-19,59.09074401855469,61.03645549375763,58.56689890473273,59.72080725380135,271857200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-20,55.33934020996094,60.79264444451166,55.03999854094989,59.67011594836406,401693200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-23,54.16371154785156,55.160709355187784,51.324807219579434,55.05932030955582,336752800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-24,59.59770202636719,59.793238287645494,56.56084531140466,57.05813597182242,287531200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-25,59.269386291503906,62.34245170831376,58.97487373705756,60.53192552123785,303602000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-26,62.38832473754883,62.44625922344338,59.472169846872056,59.51079529315195,252087200.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-27,59.805301666259766,61.767909526223264,59.638732669554486,61.01473181958192,204216800.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-30,61.51203155517578,61.68342967850782,60.20603760216864,60.529521124828726,167976400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-03-31,61.386497497558594,63.366005560924876,60.833685075362965,61.70273919270683,197002000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-04-01,58.15652084350586,60.04188167908633,57.726822887688364,59.50596558883749,176218400.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
2020-04-02,59.12696838378906,59.18007745825888,57.18849821621821,58.018926998627165,165934000.0,AAPL,Apple,,,,,,,,,,,,,,,,,,,,
