Date,Close,High,Low,Open,Volume,Ticker
2020-01-02,72.33389282226562,72.39410082239243,71.09119881769524,71.34406947838406,135480400,AAPL
2020-01-03,71.63062286376953,72.38924180059009,71.40665098377971,71.56319023271006,146322800,AAPL
2020-01-06,72.2013931274414,72.23992710936326,70.50353134989086,70.7539985575802,118387200,AAPL
2020-01-07,71.8618392944336,72.4663224088167,71.64268136784916,72.211041164577,108872000,AAPL
2020-01-08,73.017822265625,73.31886213203573,71.56560624404386,71.56560624404386,132079200,AAPL
2020-01-09,74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400,AAPL
2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800,AAPL
2020-01-13,76.3341064453125,76.36060178633993,74.93487315391599,75.05288582822318,121532000,AAPL
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400,AAPL
2020-01-15,74.9806137084961,75.98247543934815,74.54952248725758,75.10344034713454,121923600,AAPL
2020-01-16,75.91984558105469,76.03063354644571,75.16122656820497,75.52247441714353,108829200,AAPL
2020-01-17,76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400,AAPL
2020-01-21,76.24016571044922,76.83019952815127,76.10288974668396,76.3894803308505,110843200,AAPL
2020-01-22,76.5123291015625,77.06382908812623,76.41840109404252,76.72425508723063,101832400,AAPL
2020-01-23,76.88077545166016,76.96024675038308,76.01859307367198,76.56528622859716,104472000,AAPL
2020-01-24,76.6592025756836,77.8681760847734,76.46894331412666,77.12641705620177,146537600,AAPL
2020-01-27,74.40502166748047,75.08416206919466,73.42483402812097,74.67234156024762,161940000,AAPL
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,AAPL
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,AAPL
2020-01-30,77.99826049804688,78.05124383327706,76.76520180499128,77.19629315301822,126743200,AAPL
2020-01-31,74.53988647460938,77.71163859900423,74.24607125177067,77.29018275843434,199588400,AAPL
2020-02-03,74.33521270751953,75.49842813862173,72.78425389964323,73.28518127100233,173788400,AAPL
2020-02-04,76.78925323486328,76.97951249486786,75.53211041551288,75.93670624597806,136616400,AAPL
2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800,AAPL
2020-02-06,78.32095336914062,78.3233640404218,77.12883967256218,77.68516086755363,105425600,AAPL
2020-02-07,77.25636291503906,78.06989154294402,76.76631409771366,77.82124622907054,117684000,AAPL
2020-02-10,77.623291015625,77.623291015625,75.7644885208781,75.8441484328751,109348800,AAPL
2020-02-11,77.15499114990234,78.1906145236601,76.93772941121844,78.11819639978289,94323200,AAPL
2020-02-12,78.98721313476562,78.99203855171046,77.60396869052254,77.60396869052254,113730400,AAPL
2020-02-13,78.42475891113281,78.7506551305069,78.05782821966719,78.26060628866534,94747600,AAPL
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,AAPL
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200,AAPL
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,AAPL
2020-02-20,77.32154083251953,78.37164756799683,76.81700838375629,77.88401513292217,100566000,AAPL
2020-02-21,75.57138061523438,77.3577728316972,74.9558044913532,76.91600019658557,129554000,AAPL
2020-02-24,71.98170471191406,73.43012593023869,69.82114748147725,71.75961758398634,222195200,AAPL
2020-02-25,69.54354095458984,73.03182567603444,69.07280838793456,72.65041125636773,230673600,AAPL
2020-02-26,70.64674377441406,71.90928692764982,69.16211349223191,69.16935530367469,198054800,AAPL
2020-02-27,66.02870178222656,69.04142098650374,65.89351637245633,67.85854496748809,320605600,AAPL
2020-02-28,65.99005126953125,67.20914325476264,61.88860853206062,62.10346116385855,426510000,AAPL
2020-03-02,72.13375854492188,72.76865074645058,67.04256107502337,68.14336012975559,341397200,AAPL
2020-03-03,69.84288787841797,73.38669078369585,68.99314253337712,73.30703084112471,319475600,AAPL
2020-03-04,73.08247375488281,73.24180090646557,70.76259027435336,71.561635057031,219178400,AAPL
2020-03-05,70.7119140625,72.31241302487865,70.34739243241086,71.33955724756618,187572800,AAPL
2020-03-06,69.77286529541016,70.20497969740977,67.88992061879122,68.07579869358199,226176800,AAPL
2020-03-09,64.2543716430664,67.13189718407227,63.489119320777824,63.670171942415024,286744800,AAPL
2020-03-10,68.88208770751953,69.14763308452109,65.0268727397902,66.90258302825225,285290000,AAPL
2020-03-11,66.48978424072266,67.88751298901103,65.62797171834961,66.96294054735044,255598800,AAPL
2020-03-12,59.923587799072266,65.17894285229022,59.86806602728879,61.78481034349421,418474000,AAPL
2020-03-13,67.10293579101562,67.57367559511492,61.06301877546382,63.94538103600016,370732000,AAPL
2020-03-16,58.4703483581543,62.542820889319664,57.93684495675963,58.40758108532822,322423600,AAPL
2020-03-17,61.041290283203125,62.1879532458274,57.55059398806874,59.74978006097213,324056000,AAPL
2020-03-18,59.5470085144043,60.350882714180244,57.2416040580175,57.88132562490314,300233600,AAPL
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200,AAPL
2020-03-20,55.3393440246582,60.79264863512061,55.04000233501268,59.67012006159394,401693200,AAPL
2020-03-23,54.163700103759766,55.160697700443244,51.32479637531141,55.05930867623348,336752800,AAPL
2020-03-24,59.59770202636719,59.793238287645494,56.56084531140466,57.05813597182242,287531200,AAPL
2020-03-25,59.26939010620117,62.34245572079971,58.974877532799404,60.53192941719469,303602000,AAPL
